title,authors,year,reference_count,total_citation,abstract,keywords,type"Winners and Losers: The New Map of Economic Inequality in the European Union",Mick Dunford;Peter Sjøholt;Neil Ravenscroft;Stephen Young;Neil Hood;Alan Wilson;Inga Lena Grønlund;Tatyana Nefedova;Vladimir Baláz;Stephen Fothergill;Tim Unwin;Eike Schamp;Rachel Macdonald;Markus Hesse;,1994,22,61,"This article examines some of the main features and causes of the changing geography of inequality and unequal development in the European Union (EU). The main spatial inequalities in the EU and the wider Europe are outlined, as are some of the trends in regional inequality since the early 1960s and their relation to economic performance. Considerable emphasis is placed on evidence of the dysfunctionality of wide inequalities for economic development, and it is argued that a neo-liberal programme of market integration and an intensification of competition for investment creates a zero-sum gain in which the gains of the winners are often at the expense of the losers. An initial attempt is made to identify some of the winners and losers of the late 1970s and 1980s and to identify some of the factors that help explain why some regions were more successful than others.",,"Research Article"
"The Emigration and Employment of Irish Graduates: The Export of High-Quality Labour From the Periphery of Europe",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,48,22,"During the late 1980s, emigration of university graduates from the Republic of Ireland rose to unprecedented levels. More than one-quarter of the graduates were living abroad nine months after graduation, according to statistics issued by the Higher Education Authority. After reviewing the changing socio-economic background to Irish emigration since the early 1950s, the second, and major, part of the article will present the findings of a large-scale empirical investigation of the employment and migration histories of a sample of 383 graduates who left Irish universities in the mid-1980s. This survey was carried out in 1990 and so recorded approximately five years of occupational and spatial mobility for each respondent. Although the survey results do back up popular impressions of an Irish brain drain, in many respects Irish high-skilled migration is merely a subset of total Irish migration since the graduates were found to rely on traditional family and ethnic networks in choosing their destination and often their employment. The destination countries of Irish graduate emigrants closely reflected the destinations of Irish emigrants as a whole, except that graduates showed a higher propensity to migrate to continental European countries. Moreover, a lot of to-and-fro movement was discovered, indicating that Irish graduates are highly mobile and responsive to opportunities at home and abroad. Finally the theoretical and policy implications of the research are evaluated. Conceptually the Irish brain drain can be contextualized within centre-periphery theory and the notion of Ireland having a truncated labour market: in other words, as a small-scale, geographically peripheral, unindustrialized and ex-colonial economy, Ireland cannot provide sufficient challenging jobs for its graduate population, which is itself increasing. Policy-wise, educating young people for export may be hard to justify, particularly when this investment in human capital is exported to richer countries like the United States, Britain and Germany.",,"Research Article"
"The Search for National Employment Policies in Central and Eastern Europe",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,40,0,"The nation-state is not dead and its raison d'être is far from over. On the contrary, the nation-state is searching for a new structure and is playing a crucial role in the transformation and modernization process. The examples of countries from central and eastern Europe demonstrate the importance of nation-state formation as a mediating factor during the current spate of economic and sacial changes. It provides the focal point for interest groups in society and more generally for external relations in the evolving global system of world capitalism. A problem in social science today is that there is too little critical research into how the nation-state and the capitalist market economy are interlinked, and how the former shapes the formation of welfare systems, labour institutions and labour market policies. Using the case study examples of Hungary, Poland, the Czech Republic, Slovakia and to some extent the former GDR, the concept of a national solution to the transform. ation process will be examined in each country with respect to the search for an employment policy.",,"Research Article"
"Telematics and Rural Development: Evidence From a Survey of Small Businesses in the European Union",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,25,16,"Indigenous rural development in the peripheral regions of Europe could be encouraged through the uptake of telematics by small and medium-sized enterprises (SMEs). However, little is known about patterns of and resistances towards the adoption of telematics in rural areas and there exists a view that the main beneficiaries will be larger businesses in core areas of economic activity. After a brief exploration of the relationships between telematics and rural development, this article reports the early findings of a research project on the use of, and attitudes towards, telematics among SMEs in seven rural regions of the European Union. Results indicate that the predominantly very small, independent and privately owned businesses make very limited use of telematics services, mainly because of a lack of awareness and inadequate training. The main business problems faced by these businesses — cashflow, marketing, lack of qualified staff, and information technology support- present opportunities for telematics in rural areas. Yet successful adoption of telematics applications will occur only if they are sympathetic to the needs of small rural businesses. The article concludes by suggesting some ways in which the benefits of telematics can favour peripheral rural areas as well as urban core areas.",,"Research Article"
"The 1994 European Election in Portugal",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,0,1,"",,"Other"
"Reunification, Property Rights and Legal Services: Law Without Lawyers in Germany's New Bundesländer",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,8,6,"",,"Other"
"The Role of European Super Regions",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,6,2,"",,"Other"
"Universities and Economic Restructuring in Postindustrial Metropolitan Society: The Case of Madrid",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,1,0,"",,"Other"
"Book Reviews: Zoltán Hajdu (ed.) Hungary: Society, State, Economy and Regional Structure in Transition: Centre of Regional Studies, Pécs, 1993, pp. 294, $28, ISBN 963-8371-765",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,0,0,"",,"Review Article"
"Book Reviews: THE HUMAN GEOGRAPHY OF IRELAND Wiley, Chichester, 1994, pp. 221, £39.95 (hbk), ISBN 0-471-94832-2, £14.95 (pbk) ISBN 0-471-94835-7",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,0,0,"",,"Review Article"
"Book Reviews: D.J. Peterson Troubled Lands: the Legacy of Soviet Environmental Destruction: Westview Press, 1993, pp. 288, £13.50, ISBN 0-8133-1674-X",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,1,0,"",,"Review Article"
"Book Reviews: Desmond Dinan EVER CLOSER UNION? AN INTRODUCTION TO THE EUROPEAN COMMUNITY Macmillan, London, 1994, pp. 532, £40.00 (hbk), ISBN 0-333-61686-3, £12.99 (pbk), ISBN 0-33361687-1 Clive Archer ORGANIZING EUROPE: THE INSTITUTIONS OF INTEGRATION 2nd edn, Edward Arnold, London, 1994, pp. 304, £12.99 (pbk) ISBN 0-340-59039-4",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,0,0,"",,"Review Article"
"Book Reviews: C. Cockburn and R. Furst Dilic (eds) BRINGING TECHNOLOGY HOME: GENDER AND TECHNOLOGY IN A CHANGING EUROPE Open University Press, Buckingham 1994, pp. 187, £37.50 (hbk), ISBN 0-335-19159-2, £12.99 (pbk), ISBN 0-335-191584",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,0,1,"",,"Review Article"
"Book Reviews: Camille Guerin-Gonzales and Carl Strikwerda (eds). Foreword by David Brody THE POLITICS OF IMMIGRANT WORKERS. LABOUR ACTIVISM AND MIGRATION IN THE WORLD ECONOMY SINCE 1830 Homes & Meier Publishers, Inc, New York and London, 1993. pp. 333 ISBN 0-8419-1297-1",Jim Lewis;Julien Savary;Russell King;Ian Shuttleworth;Pertti Koistinen;Brian Ilbery;David Clark;Nigel Berkeley;Ian Goldman;Manuel Villaverde Cabral;Mark Blacksell;Peter Gripaios;Manuel Valenzuela;Judith Moreno;Zoltan Raffay;Diane Perrons;Jeff Blackford;Michael Keating;Linda McDowell;Richard Black;,1995,0,0,"",,"Review Article"
"Lobbying 'Brussels': The Case of Scotland Europa",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,21,14,"The increase in paradiplomacy the activities of regions below the level of the state in international politics particularly in matters of trade and economic affairs - has been noted by scholars of federal states. This paper draws on this literature to consider the background and debates within the United Kingdom, one of the most centralized states in the European Union, on the setting up of Scotland Europa, a Scot tish lobbying office in Brussels in May 1992. The resurgence of political nationalism in Scotland in the late 1980s coincided with the 'relaunch' of Europe, with the Single European Act and the single European Market providing significant backdrops. Government fears that such an office might be used by its oppo nents to articulate alternative views were voiced in leaked memoranda and these provide important insights into its thinking. In essence, the issue of 'Who speaks for Scotland?' lay at the heart of debates on the nature and functions of the Brussels office. Europe was offering a new battleground in an old war. In particular, difficulties existed between the Scottish Office, representing central government, and the Scottish local authorities. These were ultimately resolved largely due to the skills of the first chief executive of the lobbying office. To date, a limited role has been cut out for Scotland Europa. Conse quently, the fears that paradiplomacy might become protodiplomacy- whereby the international activities of regions no longer parallel those of their central governments but act against them and threaten the integrity of the state - have proved unfounded.",,"Research Article"
"The Eu Internal Market Programme and the Spatial Development of Producer Services in Great Britain",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,70,6,"Until recently national markets for services have been sheltered from competition. The EU internal market programme provides an opportunity to reduce service market fragmentation and make European services as a whole more competitive in world markets. Successful implementation of the pro gramme may be accompanied by some relocation of producer services within the Union. A recent study suggests that this would not raise undue concern among the member states, In this paper it is suggested that there is a potential conflict between evidence for a wider dispersal of producer services within the British space economy (and the benefits that it rep resents for the process of regional economic restruc turing) and any centralization tendencies in relation to a European-wide market. This will reassert the hegemony of London and the South East which will ensure that Britain capitalizes upon the EU internal market programme but at the expense of a continuing improvement in the range and quality of producer services in the provincial cities and regions.",,"Research Article"
"The European Union Structural Fund Allocations: 'Lobbying To Win' or Recycling the Budget?",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,33,10,"The growth of European Union territorial policy competencies has brought with it significant budget ary changes and heralded ambitions of a 'Europe of the Regions'. Regional policy funding now commands around 30 per cent of all European Union expendi ture. In the recent (1994-99) round of structural fund allocations there were more 'winners' than 'losers'. Over 60 per cent of the European territory is now covered by the funds. A number of local authori ties, justifiably pleased with the award of funds to their territories, are full of 'campaign lessons' of 'successful lobbying in Brussels'. Yet structural fund application procedures dictate that individual regions cannot enter into negotiations with the EU to obtain funds; rather, they can only seek to influence member states, the 'gatekeepers' for applications made to the EU for structural funding. The real 'winners' of struc tural fund awards are the member states themselves. This is because the spending of structural funds is diffcult to audit with any certainty, enabling member states to use European money as substitute territorial funding, rather than meeting EU rules designed to ensure that European funds are additional to national spending on the regions. Detailed insights are pro vided into the processes of applying for, spending, and auditing EU structural funds, demonstrating how it is possible for member states to draw benefit for central government spending programmes from funds intended for territorial initiatives. Rather than a 'Eur ope of the Regions' it would appear that EU spending can be recycled back to national governments, reinforcing centralization rather than creating decen tralization. The absence of strong regional 'policy net works' of public and private players in centralized unitary member states to monitor additionality exacerbates the problem. Case study material from Grampian, Scotland, is presented to illustrate these processes.",,"Research Article"
"Regional Development Planning in Objective i rEgions",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,11,3,"",,"Other"
"Urban Renaissance in Oslo: Social Reordering Through Aestheticization",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,12,3,"",,"Other"
"Information Policy in the Eu: Towards a Local Approach",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,5,1,"",,"Other"
"Regional Development During Economic Transition: A Case Study of the Slovak Republic",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,4,4,"",,"Other"
"Development Prospects for the European Offshore Oil Industry",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,10,0,"",,"Other"
"After Les Minguettes: 'Problem' Housing Estates in France",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,12,1,"",,"Other"
"Book Reviews: David Booth (ed) RETHINKING SOCIAL DEVELOPMENT. THEORY, RESEARCH AND PRACTICE Longman, Harlow, 1994, pp. 328, £19.99 (pbk), (ISBN 0-582-23497-2",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,3,0,"",,"Review Article"
"Book Reviews: J.R. Gold and S.V. Ward PLACE PROMOTION: THE USE OF PUBLICITY AND MARKETING TO SELL TOWNS AND REGIONS John Wiley and Sons, Chichester, 1994, pp. 278, £35.00 (hbk), ISBN 0-471-94834-9",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,0,1,"",,"Review Article"
"Book Reviews: Heinz Fassmann and Rainer Münz (eds) EUROPEAN MIGRATION IN THE LATE TWENTIETH CENTURY: HISTORICAL PATTERNS, ACTUAL TRENDS, AND SOCIAL IMPLICATIONS Edward Elgar, Aldershot, 1994, pp. 287, £45.00 (hbk), ISBN 1-85898-125-5",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,1,0,"",,"Review Article"
"Book Reviews: D.M. Smith GEOGRAPHY AND SOCIAL JUSTICE Blackwell, Oxford, 1994, pp. 325. Pbk £14.99, ISBN 0- 631-19026-0",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,1,0,"",,"Review Article"
"Book Reviews: J.B. Racine and C. Raffestin (eds) NOUVELLE GEOGRAPHIE DE LA SUISSE ET DES SUISSES Editions Payot, Lausanne, 1994, 2 vols in a boxed set (No price available). ISBN 2-601-03067-4",James Mitchell;Peter Daniels;Justin Greenwood;Roger Levy;Rachel Stewart;John Bachtler;John Pløger;Richard Caddel;Vladimír Baláz;Andrew Cumbers;John Tuppen;Emanuel de Kadt;Jacquelin Burgess;Russell King;Steven Pinch;Andrew Gilg;,1995,0,0,"",,"Review Article"
